,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,
No.,TYPE,AISC_MANUAL_LABEL,EDI_STD_NOMENCLATURE,Perfil Base-1,Perfil Base-2,IMCA-01,IMCA-02,AHMSA,Disp.,No.,T_F,BF_2TF,B_T,H_TW,H_T,D_T,H,TAN_ALPHA,QS,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,RX,RY,RZ,RO,A,Aw,WNO,ZX,SX,ZY,SY,C,QF,QW,IX,IY,J,SW,CW,W,Disp. 01,Disp. 02,Disp. 03,Disp. 04,Disp. 05,Disp. 06,Cntc 01,Cntc 02,Cntc 03,Cntc 04,Cntc 05,Cntc 06
32,W,W36X441,W36X441,,,,,IPR36X16-1/2X441,"(,,Vllcro,,,)",32,T,3.48,0.00,23.6,0.00,0.00,0.00,0.00,0.00,38.9,0,0,17.0,0,0,1.36,2.44,0,0,0.00,3.39,3.75,1.875,0.00,0.00,0.00,0.00,0.00,15.7,3.92,0.00,0.00,130,52.9,154,1910,1650,368,235,0.00,347,950,32100,1990,194,1600,661000,442,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
33,W,W36X395,W36X395,,,,,IPR36X16-1/2X395,"(,,Vllcro,,,)",33,T,3.83,0.00,26.3,0.00,0.00,0.00,0.00,0.00,38.4,0,0,16.8,0,0,1.22,2.20,0,0,0.00,3.15,3.4375,1.8125,0.00,0.00,0.00,0.00,0.00,15.7,3.88,0.00,0.00,116,46.8,152,1710,1490,325,208,0.00,311,847,28500,1750,142,1410,575000,395,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
34,W,W36X361,W36X361,,,,,IPR36X16-1/2X361,"(,,Vllcro,,,)",34,T,4.16,0.00,28.6,0.00,0.00,0.00,0.00,0.00,38.0,0,0,16.7,0,0,1.12,2.01,0,0,0.00,2.96,3.3125,1.75,0.00,0.00,0.00,0.00,0.00,15.6,3.85,0.00,0.00,106,42.6,150,1550,1350,293,188,0.00,282,767,25700,1570,109,1270,509000,361,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
35,W,W36X330,W36X330,,,,,IPR36X16-1/2X330,"(,,Vllcro,,,)",35,F,4.49,0.00,31.4,0.00,0.00,0.00,0.00,0.00,37.7,0,0,16.6,0,0,1.02,1.85,0,0,0.00,2.80,3.125,1.75,0.00,0.00,0.00,0.00,0.00,15.5,3.83,0.00,0.00,97.0,38.5,149,1410,1240,265,171,0.00,259,698,23300,1420,84.3,1150,456000,330,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
36,W,W36X302,W36X302,,,,,IPR36X16-1/2X302,"(,,Vllcro,,,)",36,F,4.96,0.00,33.9,0.00,0.00,0.00,0.00,0.00,37.3,0,0,16.7,0,0,0.945,1.68,0,0,0.00,2.63,3,1.6875,0.00,0.00,0.00,0.00,0.00,15.4,3.82,0.00,0.00,88.8,35.2,148,1280,1130,241,156,0.00,235,635,21100,1300,64.3,1040,412000,302,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
37,W,W36X300*,W36X300*,,,914 X 447.2,IR914X447.2,,"(,,,,,)",37,,4.95,0.00,33.0,0.00,0.00,0.00,0.00,0.00,36.73,0,0,16.65,0,0,0.945,1.681,0,0,0.00,2.795,2.795275588,1.496062991,0.00,0.00,0.00,0.00,0.00,15.20,3.82,0.00,0.00,88.30,34.7,,1244.35,1110.02,240.57,155.98,0.00,,,20299.9,1300.0,62.603,,397473.5,300.0,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
38,W,W36X280*,W36X280*,,,914 X 417.3,IR914X417.3,,"(,,,,,)",38,,5.29,0.00,35.2,0.00,0.00,0.00,0.00,0.00,36.54,0,0,16.61,0,0,0.886,1.571,0,0,0.00,2.677,2.677165352,1.496062991,0.00,0.00,0.00,0.00,0.00,15.12,3.82,0.00,0.00,82.40,32.4,,1159.48,1213.09,223.35,144.02,0.00,,,18899.9,1200.1,51.036,,366961.5,280.0,,,,,,,"(,","(,,","(,,,","(,,,,","(,,,,,","(,,,,,)"
39,W,W36X282,W36X282,,,,,IPR36X16-1/2X282,"(,,Vllcro,,,)",39,F,5.29,0.00,36.2,0.00,0.00,0.00,0.00,0.00,37.1,0,0,16.6,0,0,0.885,1.57,0,0,0.00,2.52,2.875,1.625,0.00,0.00,0.00,0.00,0.00,15.4,3.80,0.00,0.00,82.9,32.8,147,1190,1050,223,144,0.00,219,591,19600,1200,52.7,960,378000,282,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
40,W,W36X262,W36X262,,,,,IPR36X16-1/2X262,"(,,Vllcro,,,)",40,F,5.75,0.00,38.2,0.00,0.00,0.00,0.00,0.00,36.9,0,0,16.6,0,0,0.840,1.44,0,0,0.00,2.39,2.75,1.625,0.00,0.00,0.00,0.00,0.00,15.3,3.76,0.00,0.00,77.0,31.0,147,1100,972,204,132,0.00,200,543,17900,1090,41.6,873,342000,262,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
41,W,W36X247,W36X247,,,,,IPR36X16-1/2X247,"(,,Vllcro,,,)",41,F,6.11,0.00,40.1,0.00,0.00,0.00,0.00,0.00,36.7,0,0,16.5,0,0,0.800,1.35,0,0,0.00,2.30,2.625,1.625,0.00,0.00,0.00,0.00,0.00,15.2,3.74,0.00,0.00,72.5,29.4,146,1030,913,190,123,0.00,187,509,16700,1010,34.7,812,316000,247,,,Vllcro,,,,"(,","(,,","(,,Vllcro,","(,,Vllcro,,","(,,Vllcro,,,","(,,Vllcro,,,)"
